date,match_id,match,selection,odds_taken,implied_probability,model_probability,value_gap,signal,risk_label,confidence_score,stake_pct,result,profit_loss_units,closing_odds,closing_line_value,status,pick_id
2026-06-14,8,Australia vs Turkey,Australia,4.75,0.2105,0.3919,0.1813,STRONG VALUE,HIGH RISK,0.5132,0.0574,PENDING,0.0,,,OPEN,2026-06-14_8_australia
2026-06-25,53,Czech Republic vs Mexico,Czech Republic,4.46,0.2242,0.3265,0.1023,STRONG VALUE,HIGH RISK,0.3687,0.033,PENDING,0.0,,,OPEN,2026-06-25_53_czech_republic
2026-06-23,43,Norway vs Senegal,Senegal,3.4,0.2941,0.3919,0.0977,POSSIBLE VALUE,MEDIUM RISK,0.4596,0.0346,PENDING,0.0,,,OPEN,2026-06-23_43_senegal
2026-06-20,32,Turkey vs Paraguay,Paraguay,3.38,0.2959,0.3919,0.096,POSSIBLE VALUE,MEDIUM RISK,0.4578,0.0341,PENDING,0.0,,,OPEN,2026-06-20_32_paraguay
2026-06-26,59,Paraguay vs Australia,Australia,3.48,0.2874,0.365,0.0776,POSSIBLE VALUE,MEDIUM RISK,0.4126,0.0272,PENDING,0.0,,,OPEN,2026-06-26_59_australia
2026-06-27,66,Egypt vs Iran,Iran,3.41,0.2933,0.3573,0.0641,POSSIBLE VALUE,MEDIUM RISK,0.3914,0.0227,PENDING,0.0,,,OPEN,2026-06-27_66_iran
2026-06-19,29,USA vs Australia,Australia,4.56,0.2193,0.3188,0.0995,POSSIBLE VALUE,HIGH RISK,0.3583,0.0319,PENDING,0.0,,,OPEN,2026-06-19_29_australia
2026-06-12,3,Canada vs Bosnia & Herzegovina,Bosnia & Herzegovina,4.5,0.2222,0.3188,0.0966,POSSIBLE VALUE,HIGH RISK,0.3553,0.031,PENDING,0.0,,,OPEN,2026-06-12_3_bosnia_&_herzegovina
2026-06-14,11,Ivory Coast vs Ecuador,Ivory Coast,3.65,0.274,0.3419,0.0679,POSSIBLE VALUE,HIGH RISK,0.3498,0.0234,PENDING,0.0,,,OPEN,2026-06-14_11_ivory_coast
2026-06-17,22,England vs Croatia,Croatia,4.85,0.2062,0.3035,0.0973,POSSIBLE VALUE,HIGH RISK,0.3407,0.0306,PENDING,0.0,,,OPEN,2026-06-17_22_croatia
2026-06-15,12,Sweden vs Tunisia,Tunisia,4.21,0.2375,0.3188,0.0812,POSSIBLE VALUE,HIGH RISK,0.34,0.0266,PENDING,0.0,,,OPEN,2026-06-15_12_tunisia
2026-06-19,28,Mexico vs South Korea,South Korea,4.54,0.2203,0.3035,0.0832,POSSIBLE VALUE,HIGH RISK,0.3267,0.0267,PENDING,0.0,,,OPEN,2026-06-19_28_south_korea
2026-06-13,4,USA vs Paraguay,Paraguay,3.94,0.2538,0.3188,0.065,POSSIBLE VALUE,HIGH RISK,0.3237,0.0218,PENDING,0.0,,,OPEN,2026-06-13_4_paraguay
2026-06-25,56,Ecuador vs Germany,Ecuador,4.99,0.2004,0.2587,0.0583,POSSIBLE VALUE,HIGH RISK,0.257,0.0182,PENDING,0.0,,,OPEN,2026-06-25_56_ecuador
2026-06-24,49,Bosnia & Herzegovina vs Qatar,Qatar,6.08,0.1645,0.3342,0.1697,STRONG VALUE,VERY HIGH RISK,0.4039,0.0508,PENDING,0.0,,,OPEN,2026-06-24_49_qatar
2026-06-27,64,Uruguay vs Spain,Uruguay,5.33,0.1876,0.3188,0.1312,STRONG VALUE,VERY HIGH RISK,0.3499,0.0404,PENDING,0.0,,,OPEN,2026-06-27_64_uruguay
2026-06-13,6,Brazil vs Morocco,Morocco,5.77,0.1733,0.2959,0.1225,POSSIBLE VALUE,VERY HIGH RISK,0.3184,0.0371,PENDING,0.0,,,OPEN,2026-06-13_6_morocco
2026-06-23,44,Jordan vs Algeria,Jordan,5.74,0.1742,0.2734,0.0991,POSSIBLE VALUE,VERY HIGH RISK,0.2725,0.03,PENDING,0.0,,,OPEN,2026-06-23_44_jordan
2026-06-18,26,Switzerland vs Bosnia & Herzegovina,Bosnia & Herzegovina,5.62,0.1779,0.2734,0.0954,POSSIBLE VALUE,VERY HIGH RISK,0.2688,0.029,PENDING,0.0,,,OPEN,2026-06-18_26_bosnia_&_herzegovina
2026-06-15,14,Belgium vs Egypt,Egypt,5.18,0.1931,0.2734,0.0803,POSSIBLE VALUE,VERY HIGH RISK,0.2537,0.0249,PENDING,0.0,,,OPEN,2026-06-15_14_egypt
2026-06-27,67,Croatia vs Ghana,Ghana,5.45,0.1835,0.266,0.0825,POSSIBLE VALUE,VERY HIGH RISK,0.2485,0.0253,PENDING,0.0,,,OPEN,2026-06-27_67_ghana
2026-06-26,60,Turkey vs USA,USA,2.56,0.3906,0.4454,0.0548,POSSIBLE VALUE,MEDIUM RISK,0.4702,0.0225,PENDING,0.0,,,OPEN,2026-06-26_60_usa
2026-06-14,7,Haiti vs Scotland,Haiti,5.93,0.1686,0.2808,0.1122,POSSIBLE VALUE,VERY HIGH RISK,0.293,0.0337,PENDING,0.0,,,OPEN,2026-06-14_7_haiti
