match_id,date,stage,team_a,team_b,selection,decimal_odds,implied_probability,model_probability,value_gap,kelly_stake_pct,signal,risk_label,confidence_score,quality_label
53,2026-06-25,FIFA World Cup,Czech Republic,Mexico,Czech Republic,4.48,0.2232,0.3265,0.1033,0.0332,STRONG VALUE,HIGH RISK,0.3697,PUBLIC_SIGNAL
32,2026-06-20,FIFA World Cup,Turkey,Paraguay,Paraguay,3.39,0.295,0.3919,0.0969,0.0343,POSSIBLE VALUE,MEDIUM RISK,0.4587,PUBLIC_SIGNAL
43,2026-06-23,FIFA World Cup,Norway,Senegal,Senegal,3.33,0.3003,0.3919,0.0916,0.0327,POSSIBLE VALUE,MEDIUM RISK,0.4534,PUBLIC_SIGNAL
59,2026-06-26,FIFA World Cup,Paraguay,Australia,Australia,3.54,0.2825,0.365,0.0825,0.0288,POSSIBLE VALUE,HIGH RISK,0.3875,PUBLIC_SIGNAL
66,2026-06-27,FIFA World Cup,Egypt,Iran,Iran,3.58,0.2793,0.3573,0.078,0.0271,POSSIBLE VALUE,HIGH RISK,0.3753,PUBLIC_SIGNAL
3,2026-06-12,FIFA World Cup,Canada,Bosnia & Herzegovina,Bosnia & Herzegovina,4.55,0.2198,0.3188,0.099,0.0317,POSSIBLE VALUE,HIGH RISK,0.3578,PUBLIC_SIGNAL
29,2026-06-19,FIFA World Cup,USA,Australia,Australia,4.5,0.2222,0.3188,0.0966,0.031,POSSIBLE VALUE,HIGH RISK,0.3553,PUBLIC_SIGNAL
60,2026-06-26,FIFA World Cup,Turkey,USA,USA,2.56,0.3906,0.4454,0.0548,0.0225,POSSIBLE VALUE,MEDIUM RISK,0.4702,PREMIUM_SIGNAL
12,2026-06-15,FIFA World Cup,Sweden,Tunisia,Tunisia,4.25,0.2353,0.3188,0.0835,0.0273,POSSIBLE VALUE,HIGH RISK,0.3423,PREMIUM_SIGNAL
11,2026-06-14,FIFA World Cup,Ivory Coast,Ecuador,Ivory Coast,3.55,0.2817,0.3419,0.0602,0.021,POSSIBLE VALUE,HIGH RISK,0.3421,PREMIUM_SIGNAL
22,2026-06-17,FIFA World Cup,England,Croatia,Croatia,4.81,0.2079,0.3035,0.0956,0.0302,POSSIBLE VALUE,HIGH RISK,0.339,PREMIUM_SIGNAL
28,2026-06-19,FIFA World Cup,Mexico,South Korea,South Korea,4.57,0.2188,0.3035,0.0846,0.0271,POSSIBLE VALUE,HIGH RISK,0.3281,PREMIUM_SIGNAL
4,2026-06-13,FIFA World Cup,USA,Paraguay,Paraguay,3.95,0.2532,0.3188,0.0656,0.022,POSSIBLE VALUE,HIGH RISK,0.3244,PREMIUM_SIGNAL
56,2026-06-25,FIFA World Cup,Ecuador,Germany,Ecuador,4.83,0.207,0.2587,0.0516,0.0163,POSSIBLE VALUE,HIGH RISK,0.2503,PREMIUM_SIGNAL
8,2026-06-14,FIFA World Cup,Australia,Turkey,Australia,5.08,0.1969,0.3919,0.195,0.0607,STRONG VALUE,VERY HIGH RISK,0.4869,WATCHLIST_ONLY
49,2026-06-24,FIFA World Cup,Bosnia & Herzegovina,Qatar,Qatar,6.19,0.1616,0.3342,0.1726,0.0515,STRONG VALUE,VERY HIGH RISK,0.4068,WATCHLIST_ONLY
64,2026-06-27,FIFA World Cup,Uruguay,Spain,Uruguay,5.46,0.1832,0.3188,0.1356,0.0415,STRONG VALUE,VERY HIGH RISK,0.3544,WATCHLIST_ONLY
6,2026-06-13,FIFA World Cup,Brazil,Morocco,Morocco,5.43,0.1842,0.2959,0.1117,0.0342,POSSIBLE VALUE,VERY HIGH RISK,0.3075,WATCHLIST_ONLY
7,2026-06-14,FIFA World Cup,Haiti,Scotland,Haiti,5.93,0.1686,0.2808,0.1122,0.0337,POSSIBLE VALUE,VERY HIGH RISK,0.293,WATCHLIST_ONLY
26,2026-06-18,FIFA World Cup,Switzerland,Bosnia & Herzegovina,Bosnia & Herzegovina,5.59,0.1789,0.2734,0.0945,0.0288,POSSIBLE VALUE,VERY HIGH RISK,0.2678,WATCHLIST_ONLY
14,2026-06-15,FIFA World Cup,Belgium,Egypt,Egypt,5.25,0.1905,0.2734,0.0829,0.0256,POSSIBLE VALUE,VERY HIGH RISK,0.2562,WATCHLIST_ONLY
67,2026-06-27,FIFA World Cup,Croatia,Ghana,Ghana,5.53,0.1808,0.266,0.0852,0.026,POSSIBLE VALUE,VERY HIGH RISK,0.2511,WATCHLIST_ONLY
61,2026-06-26,FIFA World Cup,Norway,France,France,1.82,0.5495,0.546,-0.0034,0.0,NO BET,LOW RISK,0.5426,NO_BET
30,2026-06-19,FIFA World Cup,Scotland,Morocco,Morocco,1.95,0.5128,0.5057,-0.0072,0.0,NO BET,LOW RISK,0.4985,NO_BET
72,2026-06-28,FIFA World Cup,Jordan,Argentina,Argentina,1.2,0.8333,0.6601,-0.1732,0.0,NO BET,LOW RISK,0.487,NO_BET
39,2026-06-21,FIFA World Cup,Uruguay,Cape Verde,Uruguay,1.42,0.7042,0.5906,-0.1136,0.0,NO BET,LOW RISK,0.4771,NO_BET
58,2026-06-25,FIFA World Cup,Tunisia,Netherlands,Netherlands,1.5,0.6667,0.5689,-0.0978,0.0,NO BET,LOW RISK,0.4711,NO_BET
25,2026-06-18,FIFA World Cup,Czech Republic,South Africa,Czech Republic,1.95,0.5128,0.4888,-0.024,0.0,NO BET,LOW RISK,0.4648,NO_BET
51,2026-06-24,FIFA World Cup,Scotland,Brazil,Brazil,1.45,0.6897,0.5763,-0.1134,0.0,NO BET,LOW RISK,0.4629,NO_BET
19,2026-06-17,FIFA World Cup,Argentina,Algeria,Argentina,1.4,0.7143,0.5835,-0.1308,0.0,NO BET,LOW RISK,0.4528,NO_BET
16,2026-06-16,FIFA World Cup,Iran,New Zealand,Iran,1.88,0.5319,0.4888,-0.0431,0.0,NO BET,LOW RISK,0.4457,NO_BET
33,2026-06-20,FIFA World Cup,Netherlands,Sweden,Netherlands,1.64,0.6098,0.5221,-0.0876,0.0,NO BET,LOW RISK,0.4345,NO_BET
41,2026-06-22,FIFA World Cup,Argentina,Austria,Argentina,1.63,0.6135,0.5221,-0.0914,0.0,NO BET,LOW RISK,0.4307,NO_BET
52,2026-06-24,FIFA World Cup,Morocco,Haiti,Morocco,1.33,0.7519,0.5906,-0.1612,0.0,NO BET,LOW RISK,0.4294,NO_BET
47,2026-06-23,FIFA World Cup,Panama,Croatia,Croatia,1.54,0.6494,0.5382,-0.1112,0.0,NO BET,LOW RISK,0.427,NO_BET
36,2026-06-21,FIFA World Cup,Tunisia,Japan,Japan,1.71,0.5848,0.5057,-0.0791,0.0,NO BET,LOW RISK,0.4265,NO_BET
63,2026-06-27,FIFA World Cup,Cape Verde,Saudi Arabia,Saudi Arabia,2.75,0.3636,0.4098,0.0461,0.0181,NO BET,MEDIUM RISK,0.4259,NO_BET
