date,stage,match,selection,decimal_odds,market_probability,model_probability,value_gap,signal,risk_label,confidence_score,kelly_stake_pct,bankroll_note,quality_label
2026-06-25,FIFA World Cup,Czech Republic vs Mexico,Czech Republic,4.48,0.2232,0.3265,0.1033,STRONG VALUE,HIGH RISK,0.3697,0.0332,Small stake only. Do not overexpose bankroll.,PUBLIC_SIGNAL
2026-06-20,FIFA World Cup,Turkey vs Paraguay,Paraguay,3.39,0.295,0.3919,0.0969,POSSIBLE VALUE,MEDIUM RISK,0.4587,0.0343,Moderate caution. Follow fractional Kelly only.,PUBLIC_SIGNAL
2026-06-23,FIFA World Cup,Norway vs Senegal,Senegal,3.33,0.3003,0.3919,0.0916,POSSIBLE VALUE,MEDIUM RISK,0.4534,0.0327,Moderate caution. Follow fractional Kelly only.,PUBLIC_SIGNAL
2026-06-26,FIFA World Cup,Paraguay vs Australia,Australia,3.54,0.2825,0.365,0.0825,POSSIBLE VALUE,HIGH RISK,0.3875,0.0288,Small stake only. Do not overexpose bankroll.,PUBLIC_SIGNAL
2026-06-27,FIFA World Cup,Egypt vs Iran,Iran,3.58,0.2793,0.3573,0.078,POSSIBLE VALUE,HIGH RISK,0.3753,0.0271,Small stake only. Do not overexpose bankroll.,PUBLIC_SIGNAL
2026-06-12,FIFA World Cup,Canada vs Bosnia & Herzegovina,Bosnia & Herzegovina,4.55,0.2198,0.3188,0.099,POSSIBLE VALUE,HIGH RISK,0.3578,0.0317,Small stake only. Do not overexpose bankroll.,PUBLIC_SIGNAL
2026-06-19,FIFA World Cup,USA vs Australia,Australia,4.5,0.2222,0.3188,0.0966,POSSIBLE VALUE,HIGH RISK,0.3553,0.031,Small stake only. Do not overexpose bankroll.,PUBLIC_SIGNAL
2026-06-26,FIFA World Cup,Turkey vs USA,USA,2.56,0.3906,0.4454,0.0548,POSSIBLE VALUE,MEDIUM RISK,0.4702,0.0225,Moderate caution. Follow fractional Kelly only.,PREMIUM_SIGNAL
2026-06-15,FIFA World Cup,Sweden vs Tunisia,Tunisia,4.25,0.2353,0.3188,0.0835,POSSIBLE VALUE,HIGH RISK,0.3423,0.0273,Small stake only. Do not overexpose bankroll.,PREMIUM_SIGNAL
2026-06-14,FIFA World Cup,Ivory Coast vs Ecuador,Ivory Coast,3.55,0.2817,0.3419,0.0602,POSSIBLE VALUE,HIGH RISK,0.3421,0.021,Small stake only. Do not overexpose bankroll.,PREMIUM_SIGNAL
2026-06-17,FIFA World Cup,England vs Croatia,Croatia,4.81,0.2079,0.3035,0.0956,POSSIBLE VALUE,HIGH RISK,0.339,0.0302,Small stake only. Do not overexpose bankroll.,PREMIUM_SIGNAL
2026-06-19,FIFA World Cup,Mexico vs South Korea,South Korea,4.57,0.2188,0.3035,0.0846,POSSIBLE VALUE,HIGH RISK,0.3281,0.0271,Small stake only. Do not overexpose bankroll.,PREMIUM_SIGNAL
2026-06-13,FIFA World Cup,USA vs Paraguay,Paraguay,3.95,0.2532,0.3188,0.0656,POSSIBLE VALUE,HIGH RISK,0.3244,0.022,Small stake only. Do not overexpose bankroll.,PREMIUM_SIGNAL
2026-06-25,FIFA World Cup,Ecuador vs Germany,Ecuador,4.83,0.207,0.2587,0.0516,POSSIBLE VALUE,HIGH RISK,0.2503,0.0163,Small stake only. Do not overexpose bankroll.,PREMIUM_SIGNAL
2026-06-14,FIFA World Cup,Australia vs Turkey,Australia,5.08,0.1969,0.3919,0.195,STRONG VALUE,VERY HIGH RISK,0.4869,0.0607,Tiny stake only. High variance pick.,WATCHLIST_ONLY
2026-06-24,FIFA World Cup,Bosnia & Herzegovina vs Qatar,Qatar,6.19,0.1616,0.3342,0.1726,STRONG VALUE,VERY HIGH RISK,0.4068,0.0515,Tiny stake only. High variance pick.,WATCHLIST_ONLY
2026-06-27,FIFA World Cup,Uruguay vs Spain,Uruguay,5.46,0.1832,0.3188,0.1356,STRONG VALUE,VERY HIGH RISK,0.3544,0.0415,Tiny stake only. High variance pick.,WATCHLIST_ONLY
2026-06-13,FIFA World Cup,Brazil vs Morocco,Morocco,5.43,0.1842,0.2959,0.1117,POSSIBLE VALUE,VERY HIGH RISK,0.3075,0.0342,Tiny stake only. High variance pick.,WATCHLIST_ONLY
