match_id,selection,decimal_odds
1,Draw,4.42
1,Mexico,1.42
1,South Africa,8.05
2,Czech Republic,2.79
2,Draw,3.1
2,South Korea,2.67
3,Bosnia & Herzegovina,4.5
3,Canada,1.81
3,Draw,3.56
4,Draw,3.38
4,Paraguay,3.94
4,USA,1.97
5,Draw,6.31
5,Qatar,12.55
5,Switzerland,1.23
6,Brazil,1.61
6,Draw,3.86
6,Morocco,5.77
7,Draw,4.36
7,Haiti,6.52
7,Scotland,1.49
8,Australia,4.75
8,Draw,3.59
8,Turkey,1.77
9,Curaçao,47.0
9,Draw,18.4
9,Germany,1.04
10,Draw,3.57
10,Japan,3.64
10,Netherlands,1.97
11,Draw,2.81
11,Ecuador,2.36
11,Ivory Coast,3.65
12,Draw,3.37
12,Sweden,1.91
12,Tunisia,4.21
13,Cape Verde,26.71
13,Draw,10.74
13,Spain,1.09
14,Belgium,1.66
14,Draw,3.88
14,Egypt,5.18
15,Draw,4.34
15,Saudi Arabia,6.88
15,Uruguay,1.47
16,Draw,3.39
16,Iran,1.9
16,New Zealand,4.29
17,Draw,4.51
17,France,1.45
17,Senegal,7.08
18,Draw,6.81
18,Iraq,12.79
18,Norway,1.21
19,Algeria,8.51
19,Argentina,1.39
19,Draw,4.59
20,Austria,1.31
20,Draw,5.45
20,Jordan,9.29
21,DR Congo,11.09
21,Draw,5.85
21,Portugal,1.26
22,Croatia,4.85
22,Draw,3.74
22,England,1.72
23,Draw,3.43
23,Ghana,2.04
23,Panama,3.66
24,Colombia,1.4
24,Draw,4.55
24,Uzbekistan,8.08
25,Czech Republic,1.98
25,Draw,3.29
25,South Africa,4.04
26,Bosnia & Herzegovina,5.62
26,Draw,3.95
26,Switzerland,1.58
27,Canada,1.32
27,Draw,5.03
27,Qatar,9.69
28,Draw,3.44
28,Mexico,1.82
28,South Korea,4.54
29,Australia,4.56
29,Draw,3.74
29,USA,1.74
30,Draw,3.26
30,Morocco,1.97
30,Scotland,4.0
31,Brazil,1.07
31,Draw,11.86
31,Haiti,28.0
32,Draw,3.17
32,Paraguay,3.38
32,Turkey,2.21
33,Draw,3.94
33,Netherlands,1.64
33,Sweden,5.08
34,Draw,4.24
34,Germany,1.54
34,Ivory Coast,5.77
35,Curaçao,13.11
35,Draw,6.55
35,Ecuador,1.21
36,Draw,3.46
36,Japan,1.78
36,Tunisia,4.73
37,Draw,9.38
37,Saudi Arabia,23.18
37,Spain,1.1
38,Belgium,1.39
38,Draw,4.62
38,Iran,7.88
39,Cape Verde,7.33
39,Draw,4.44
39,Uruguay,1.43
40,Draw,3.71
40,Egypt,1.7
40,New Zealand,4.92
41,Argentina,1.64
41,Austria,5.31
41,Draw,3.78
42,Draw,8.24
42,France,1.12
42,Iraq,22.93
43,Draw,3.46
43,Norway,2.08
43,Senegal,3.4
44,Algeria,1.57
44,Draw,3.96
44,Jordan,5.74
45,Draw,6.23
45,Portugal,1.24
45,Uzbekistan,10.85
46,Draw,5.24
46,England,1.31
46,Ghana,9.13
47,Croatia,1.49
47,Draw,4.07
47,Panama,6.88
48,Colombia,1.46
48,DR Congo,7.22
48,Draw,4.14
49,Bosnia & Herzegovina,1.54
49,Draw,3.92
49,Qatar,6.08
50,Canada,3.56
50,Draw,3.31
50,Switzerland,2.08
51,Brazil,1.46
51,Draw,4.68
51,Scotland,6.45
52,Draw,5.1
52,Haiti,9.55
52,Morocco,1.33
53,Czech Republic,4.46
53,Draw,3.52
53,Mexico,1.83
54,Draw,3.37
54,South Africa,3.88
54,South Korea,1.99
55,Curaçao,12.25
55,Draw,5.96
55,Ivory Coast,1.24
56,Draw,3.88
56,Ecuador,4.99
56,Germany,1.67
57,Draw,3.41
57,Japan,2.06
57,Sweden,3.59
58,Draw,4.19
58,Netherlands,1.51
58,Tunisia,6.38
59,Australia,3.48
59,Draw,3.22
59,Paraguay,2.18
60,Draw,3.45
60,Turkey,2.7
60,USA,2.52
61,Draw,3.62
61,France,1.8
61,Norway,4.41
62,Draw,4.44
62,Iraq,7.16
62,Senegal,1.44
63,Cape Verde,2.59
63,Draw,3.28
63,Saudi Arabia,2.73
64,Draw,3.95
64,Spain,1.63
64,Uruguay,5.33
65,Belgium,1.28
65,Draw,5.58
65,New Zealand,9.42
66,Draw,3.05
66,Egypt,2.3
66,Iran,3.41
67,Croatia,1.66
67,Draw,3.74
67,Ghana,5.45
68,Draw,6.06
68,England,1.29
68,Panama,8.57
69,Colombia,3.42
69,Draw,3.32
69,Portugal,2.16
70,DR Congo,2.31
70,Draw,3.26
70,Uzbekistan,3.15
71,Algeria,3.35
71,Austria,2.27
71,Draw,3.16
72,Argentina,1.19
72,Draw,6.93
72,Jordan,13.5
