team,rating
Algeria,1600
Argentina,1920
Australia,1600
Austria,1740
Belgium,1600
Bosnia & Herzegovina,1600
Brazil,1900
Canada,1700
Cape Verde,1600
Colombia,1600
Croatia,1600
Curaçao,1600
Czech Republic,1600
DR Congo,1600
Ecuador,1600
Egypt,1600
England,1600
France,1600
Germany,1600
Ghana,1600
Haiti,1600
Iran,1600
Iraq,1600
Ivory Coast,1600
Japan,1600
Jordan,1600
Mexico,1770
Morocco,1810
Netherlands,1600
New Zealand,1600
Norway,1600
Panama,1600
Paraguay,1600
Portugal,1600
Qatar,1600
Saudi Arabia,1600
Scotland,1600
Senegal,1600
South Africa,1580
South Korea,1600
Spain,1880
Sweden,1600
Switzerland,1600
Tunisia,1600
Turkey,1600
USA,1600
Uruguay,1820
Uzbekistan,1600
